,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
30,Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A2- Studio 1 Bath,0,1.0,420,2400,2400,2400.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.28307300335392,-123.1132789494184,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
31,Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A5- Studio 1 Bath,0,1.0,455,2650,2650,2650.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.28307300335392,-123.1132789494184,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
32,Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2,2.0,750,4500,4500,4500.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.28307300335392,-123.1132789494184,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
33,Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2,2.0,810,4880,4880,4880.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.28307300335392,-123.1132789494184,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none
34,1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,Studio,0,1.0,493,2391,2391,2391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27675181228667,-123.1305258244942,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5
35,1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,1 Bedroom,1,1.0,551,2585,2585,2585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27675181228667,-123.1305258244942,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5
36,2035 Barclay Street,West End Apartments,"2035 Barclay St, Vancouver, BC V6G 1L6",Vancouver,1 Bedroom,1,1.0,478,2796,2796,2796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.29237031116254,-123.1409573839286,https://www.padmapper.com/buildings/p528695/apartments-at-2035-barclay-st-vancouver-bc-v6g-1l6
37,2035 Barclay Street,West End Apartments,"2035 Barclay St, Vancouver, BC V6G 1L6",Vancouver,2 Bedroom,2,1.0,684,3299,3593,3446.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.29237031116254,-123.1409573839286,https://www.padmapper.com/buildings/p528695/apartments-at-2035-barclay-st-vancouver-bc-v6g-1l6
38,1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,1 Bedroom,1,1.0,432,2613,2613,2613.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2024-04-19 04:59:19.228,49.28807699426087,-123.132178015981,https://www.padmapper.com/buildings/p221590/apartments-at-1501-haro-st-vancouver-bc-v6g-1g4
39,1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,2 Bedrooms,2,1.5,860,3781,3781,3781.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2024-04-19 04:59:19.228,49.28807699426087,-123.132178015981,https://www.padmapper.com/buildings/p221590/apartments-at-1501-haro-st-vancouver-bc-v6g-1g4
40,The Duke,Mt,"333 11th Ave E, Vancouver, BC V5T 0H1",Vancouver,0 Bedroom | 1 Bathroom,0,1.0,417,2395,2395,2395.0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,2024-04-19 04:59:19.228,49.26074295254206,-123.0960735385311,https://www.padmapper.com/buildings/p307387/the-duke-apartments-at-333-11th-ave-e-vancouver-bc-v5t-0h1
