,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
2399,218 Maclaren,Centretown Apartments,"218 Maclaren St, Ottawa, ON K2P 0L7",Ottawa,218 MacLaren St - Plan E,1,1.0,695,1965,1965,1965.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.41680965933639,-75.69052230723659,https://www.padmapper.com/buildings/p212128/apartments-at-218-maclaren-st-ottawa-on-k2p-0l7
2400,225 MacLaren,Centretown Apartments,"225 Maclaren St, Ottawa, ON K2P 0L4",Ottawa,225 MacLaren St - Plan J,1,1.0,554,1699,1699,1699.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.41661289818169,-75.69134012736505,https://www.padmapper.com/buildings/p212140/apartments-at-225-maclaren-st-ottawa-on-k2p-0l4
2401,225 MacLaren,Centretown Apartments,"225 Maclaren St, Ottawa, ON K2P 0L4",Ottawa,225 MacLaren St - Plan N,1,1.0,614,1779,1779,1779.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.41661289818169,-75.69134012736505,https://www.padmapper.com/buildings/p212140/apartments-at-225-maclaren-st-ottawa-on-k2p-0l4
2402,225 MacLaren,Centretown Apartments,"225 Maclaren St, Ottawa, ON K2P 0L4",Ottawa,225 MacLaren St - Plan A,2,1.0,864,2149,2149,2149.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.41661289818169,-75.69134012736505,https://www.padmapper.com/buildings/p212140/apartments-at-225-maclaren-st-ottawa-on-k2p-0l4
2403,214 Metcalfe,Centretown Apartments,"214 Metcalfe St, Ottawa, ON K2P 1P7",Ottawa,214 Metcalfe St - Plan B,0,1.0,340,1399,1399,1399.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.4177029729325,-75.6930743295482,https://www.padmapper.com/buildings/p217333/apartments-at-214-metcalfe-st-ottawa-on-k2p-1p7
2404,214 Metcalfe,Centretown Apartments,"214 Metcalfe St, Ottawa, ON K2P 1P7",Ottawa,214 Metcalfe St - Plan G,1,1.0,530,1565,1565,1565.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.4177029729325,-75.6930743295482,https://www.padmapper.com/buildings/p217333/apartments-at-214-metcalfe-st-ottawa-on-k2p-1p7
2405,324 Cambridge,Centretown West Apartments,"324 Cambridge St N, Ottawa, ON K1R 7B5",Ottawa,324 Cambridge - Plan A,0,1.0,315,1500,1500,1500.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.40633953269202,-75.70439032518097,https://www.padmapper.com/buildings/p561029/apartments-at-324-cambridge-st-n-ottawa-on-k1r-7b5
2406,324 Cambridge,Centretown West Apartments,"324 Cambridge St N, Ottawa, ON K1R 7B5",Ottawa,324 Cambridge - Plan A,1,1.0,570,1900,1900,1900.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.40633953269202,-75.70439032518097,https://www.padmapper.com/buildings/p561029/apartments-at-324-cambridge-st-n-ottawa-on-k1r-7b5
2407,324 Cambridge,Centretown West Apartments,"324 Cambridge St N, Ottawa, ON K1R 7B5",Ottawa,324 Cambridge - Plan A,2,1.0,1,2300,2300,2300.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.40633953269202,-75.70439032518097,https://www.padmapper.com/buildings/p561029/apartments-at-324-cambridge-st-n-ottawa-on-k1r-7b5
2408,324 Cambridge,Centretown West Apartments,"324 Cambridge St N, Ottawa, ON K1R 7B5",Ottawa,324 Cambridge - Plan A,3,1.0,1,3200,3200,3200.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.40633953269202,-75.70439032518097,https://www.padmapper.com/buildings/p561029/apartments-at-324-cambridge-st-n-ottawa-on-k1r-7b5
2409,Sadler,Centretown Apartments,"67 Cartier St, Ottawa, ON K2P 1J6",Ottawa,Bachelor,0,1.0,389,1299,1299,1299.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.41792584740307,-75.68764553362107,https://www.padmapper.com/buildings/p239428/sadler's-court-apartments-at-67-cartier-st-ottawa-on-k2p-1j6
2410,255 Stewart,Sandy Hill Apartments,"255 Stewart St, Ottawa, ON K1N 6K3",Ottawa,255 Stewart - Plan A,0,1.0,377,1449,1449,1449.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.42914587205202,-75.67899214879708,https://www.padmapper.com/buildings/p212146/apartments-at-255-stewart-st-ottawa-on-k1n-6k3
2411,255 Stewart,Sandy Hill Apartments,"255 Stewart St, Ottawa, ON K1N 6K3",Ottawa,255 Stewart - Plan B,2,1.0,983,2299,2299,2299.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2024-04-19 04:59:19.228,45.42914587205202,-75.67899214879708,https://www.padmapper.com/buildings/p212146/apartments-at-255-stewart-st-ottawa-on-k1n-6k3
2412,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,Studio A,0,1.0,472,1374,1374,1374.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2413,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,Studio B,0,1.0,464,1374,1374,1374.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2414,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,1 Bedroom F,1,1.0,637,1689,1689,1689.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2415,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,1 Bedroom D,1,1.0,676,1699,1699,1699.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2416,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,2 Bedroom A,2,1.0,870,1894,1894,1894.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2417,The Faircrest,Riverview Apartments,"1833 Frobisher Lane, Ottawa, ON K1G 0E8",Ottawa,2 Bedroom D,2,1.0,870,2124,2124,2124.0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,45.4006124362348,-75.66649468482686,https://www.padmapper.com/buildings/p456912/the-faircrest-apartments-at-1833-frobisher-lane-ottawa-on-k1g-0e8
2418,126 Sparks,Downtown Ottawa Apartments,"126 Sparks St, Ottawa, ON K1P 5B6",Ottawa,1 Bedroom,1,1.0,888,2450,2450,2450.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2024-04-19 04:59:19.228,45.42233255587539,-75.6983874113147,https://www.padmapper.com/buildings/p303301/apartments-at-126-sparks-st-ottawa-on-k1p-5b6
2419,126 Sparks,Downtown Ottawa Apartments,"126 Sparks St, Ottawa, ON K1P 5B6",Ottawa,1 Bedroom Loft,1,1.5,826,2800,2800,2800.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2024-04-19 04:59:19.228,45.42233255587539,-75.6983874113147,https://www.padmapper.com/buildings/p303301/apartments-at-126-sparks-st-ottawa-on-k1p-5b6
2420,160 Chapel,Lower Town Apartments,"160 Chapel St, Ottawa, ON K1N 8P5",Ottawa,1 Bedroom,1,1.0,500,1600,1600,1600.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43107101687276,-75.68117528685706,https://www.padmapper.com/buildings/p231114/apartments-at-160-chapel-st-ottawa-on-k1n-8p5
2421,160 Chapel,Lower Town Apartments,"160 Chapel St, Ottawa, ON K1N 8P5",Ottawa,Furnished 1 Bedroom,1,1.0,580,1850,1850,1850.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43107101687276,-75.68117528685706,https://www.padmapper.com/buildings/p231114/apartments-at-160-chapel-st-ottawa-on-k1n-8p5
2422,160 Chapel,Lower Town Apartments,"160 Chapel St, Ottawa, ON K1N 8P5",Ottawa,Furnished 1 Bedroom,1,1.0,500,1850,1850,1850.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43107101687276,-75.68117528685706,https://www.padmapper.com/buildings/p231114/apartments-at-160-chapel-st-ottawa-on-k1n-8p5
2423,160 Chapel,Lower Town Apartments,"160 Chapel St, Ottawa, ON K1N 8P5",Ottawa,Furnished 1 Bedroom,1,1.0,500,1850,1850,1850.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43107101687276,-75.68117528685706,https://www.padmapper.com/buildings/p231114/apartments-at-160-chapel-st-ottawa-on-k1n-8p5
2424,50 Selkirk,Vanier Apartments,"50 Selkirk St, Ottawa, ON K1L 6M9",Ottawa,50 Selkrik - Plan A,0,1.0,365,1400,1400,1400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43185675313126,-75.66685423309852,https://www.padmapper.com/buildings/p361241/apartments-at-50-selkirk-st-ottawa-on-k1l-6m9
2425,50 Selkirk,Vanier Apartments,"50 Selkirk St, Ottawa, ON K1L 6M9",Ottawa,50 Selkrik - Plan A,1,1.0,570,1550,1550,1550.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43185675313126,-75.66685423309852,https://www.padmapper.com/buildings/p361241/apartments-at-50-selkirk-st-ottawa-on-k1l-6m9
2426,50 Selkirk,Vanier Apartments,"50 Selkirk St, Ottawa, ON K1L 6M9",Ottawa,50 Selkrik - Plan A,2,1.0,818,2100,2100,2100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.43185675313126,-75.66685423309852,https://www.padmapper.com/buildings/p361241/apartments-at-50-selkirk-st-ottawa-on-k1l-6m9
2427,Sandy Hill Apartments,Sandy Hill Apartments,"353 Friel St, Ottawa, ON K1N 7W7",Ottawa,Small Bachelor,0,1.0,233,1299,1349,1324.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2024-04-19 04:59:19.228,45.42762984523968,-75.68023832336512,https://www.padmapper.com/buildings/p353790/sandy-hill-apartments-at-353-friel-st-ottawa-on-k1n-7w7
2428,Sandy Hill Apartments,Sandy Hill Apartments,"353 Friel St, Ottawa, ON K1N 7W7",Ottawa,Medium Bachelor,0,1.0,254,1299,1349,1324.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2024-04-19 04:59:19.228,45.42762984523968,-75.68023832336512,https://www.padmapper.com/buildings/p353790/sandy-hill-apartments-at-353-friel-st-ottawa-on-k1n-7w7
2429,Sandy Hill Apartments,Sandy Hill Apartments,"353 Friel St, Ottawa, ON K1N 7W7",Ottawa,Large Bachelor,0,1.0,293,1449,1499,1474.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2024-04-19 04:59:19.228,45.42762984523968,-75.68023832336512,https://www.padmapper.com/buildings/p353790/sandy-hill-apartments-at-353-friel-st-ottawa-on-k1n-7w7
2430,1,Beaverbrook Apartments,"1 120BeaverbrooLn,5-80WeepingWillowLn,Varley, Ottawa, ON K2K 1L8",Ottawa,2 Bedroom Large,2,1.0,1138,2400,2500,2450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.32907,-75.90265,https://www.padmapper.com/buildings/1648799/1-120beaverbrooln-5-80weepingwillowln-varley-apartments-at-1-120beaverbrooln-5-80weepingwillowln-varley-ottawa-on-k2k-1l8
2431,1,Beaverbrook Apartments,"1 120BeaverbrooLn,5-80WeepingWillowLn,Varley, Ottawa, ON K2K 1L8",Ottawa,3 Bedroom Large,3,1.5,1412,2607,2607,2607.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.32907,-75.90265,https://www.padmapper.com/buildings/1648799/1-120beaverbrooln-5-80weepingwillowln-varley-apartments-at-1-120beaverbrooln-5-80weepingwillowln-varley-ottawa-on-k2k-1l8
2432,1,Beaverbrook Apartments,"1 120BeaverbrooLn,5-80WeepingWillowLn,Varley, Ottawa, ON K2K 1L8",Ottawa,3 Bedroom Large,3,1.0,1406,2707,2707,2707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.32907,-75.90265,https://www.padmapper.com/buildings/1648799/1-120beaverbrooln-5-80weepingwillowln-varley-apartments-at-1-120beaverbrooln-5-80weepingwillowln-varley-ottawa-on-k2k-1l8
2433,1975 St,,"1975 St. Laurent Blvd, Ottawa, ON K1G 3S7",Ottawa,1 Bedroom,1,1.0,533,1708,1762,1735.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.39805056744886,-75.6223780737747,https://www.padmapper.com/buildings/p213292/apartments-at-1975-st-laurent-blvd-ottawa-on-k1g-3s7
2434,1975 St,,"1975 St. Laurent Blvd, Ottawa, ON K1G 3S7",Ottawa,2 Bedroom,2,1.0,769,2162,2162,2162.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.39805056744886,-75.6223780737747,https://www.padmapper.com/buildings/p213292/apartments-at-1975-st-laurent-blvd-ottawa-on-k1g-3s7
2435,2880,,"2880 Carling Ave, Ottawa, ON K2B 7Z1",Ottawa,Studio,0,1.0,414,1621,1621,1621.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-04-19 04:59:19.228,45.35745780168065,-75.79939662542941,https://www.padmapper.com/buildings/p214732/2880-2900-carling-avenue-apartments-at-2880-carling-ave-ottawa-on-k2b-7z1
2436,2880,,"2880 Carling Ave, Ottawa, ON K2B 7Z1",Ottawa,1 Bedroom,1,1.0,487,1757,1836,1796.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-04-19 04:59:19.228,45.35745780168065,-75.79939662542941,https://www.padmapper.com/buildings/p214732/2880-2900-carling-avenue-apartments-at-2880-carling-ave-ottawa-on-k2b-7z1
2437,190 Lees Avenue,Old Ottawa East Apartments,"190 Lees Ave, Ottawa, ON K1S 5L5",Ottawa,1 Bedroom,1,1.0,692,1805,2114,1959.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.41589139253851,-75.67010761239088,https://www.padmapper.com/buildings/p242221/apartments-at-190-lees-ave-ottawa-on-k1s-5l5
2438,190 Lees Avenue,Old Ottawa East Apartments,"190 Lees Ave, Ottawa, ON K1S 5L5",Ottawa,2 Bedroom,2,1.5,993,2394,2515,2454.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,45.41589139253851,-75.67010761239088,https://www.padmapper.com/buildings/p242221/apartments-at-190-lees-ave-ottawa-on-k1s-5l5
2439,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Centro; 0 bed, 1 bath",0,1.0,470,1680,1680,1680.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2440,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Panel Accessible; 0 bed, 1 bath",0,1.0,540,1690,1690,1690.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2441,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Aster Accessible; 1 bed, 1 bath",1,1.0,630,1900,1900,1900.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2442,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Mantle; 1 bed, 1 bath",1,1.0,640,1905,1905,1905.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2443,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Trillium; 1 bed, 1 bath",1,1.0,669,1950,1950,1950.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2444,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Trillium; 1 bed, 1 bath",1,1.0,669,1990,1990,1990.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2445,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Aster Accessible; 1 bed, 1 bath",1,1.0,630,1990,1990,1990.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2446,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Trillium; 1 bed, 1 bath",1,1.0,669,2000,2000,2000.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2447,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Willow; 1 bed, 1 bath",1,1.0,584,2010,2010,2010.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2448,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Juniper; 2 beds, 2 baths",2,2.0,979,2440,2440,2440.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2449,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Juniper; 2 beds, 2 baths",2,2.0,979,2465,2465,2465.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2450,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Juniper; 2 beds, 2 baths",2,2.0,979,2505,2505,2505.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2451,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Source; 2 beds, 2 baths",2,2.0,885,2545,2545,2545.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2452,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Aquifer; 2 beds, 2 baths",2,2.0,935,2620,2620,2620.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2453,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Aquifer; 2 beds, 2 baths",2,2.0,935,2630,2630,2630.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2454,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Innovation Accessible; 2 beds, 2 baths",2,2.0,955,2635,2635,2635.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2455,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Infinite; 2 beds, 2 baths",2,2.0,1050,2775,2775,2775.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2456,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Infinite; 2 beds, 2 baths",2,2.0,1050,2800,2800,2800.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2457,Loop Rentals,Centretown Apartments,"70 Gloucester St, Ottawa, ON K2P 1N6",Ottawa,"Thereme; 3 beds, 2 baths",3,2.0,1210,3135,3135,3135.0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41925521104584,-75.69510754363785,https://www.padmapper.com/buildings/p543373/loop-rentals-apartments-at-70-gloucester-st-ottawa-on-k2p-1n6
2458,Algonquin Place,Westboro Apartments,"115 101-115 Amaya, Ottawa, ON K2A 3X7",Ottawa,Roommate wanted - 7 Bedroom,5,2.0,95,925,925,925.0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,2024-04-19 04:59:19.228,45.37871,-75.76184,https://www.padmapper.com/buildings/p456823/algonquin-place-apartments-at-115-101-115-amaya-ottawa-on-k2a-3x7
2459,Algonquin Place,Westboro Apartments,"115 101-115 Amaya, Ottawa, ON K2A 3X7",Ottawa,Roommate Wanted - Furnished & All-inclusive,7,3.0,180,925,925,925.0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,2024-04-19 04:59:19.228,45.37871,-75.76184,https://www.padmapper.com/buildings/p456823/algonquin-place-apartments-at-115-101-115-amaya-ottawa-on-k2a-3x7
2460,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco; 1 bed, 1 bath",1,1.0,617,1895,1895,1895.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2461,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco Balcony; 1 bed, 1 bath",1,1.0,567,1900,1900,1900.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2462,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco Balcony; 1 bed, 1 bath",1,1.0,567,1920,1920,1920.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2463,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco Balcony; 1 bed, 1 bath",1,1.0,567,1925,1925,1925.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2464,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Lyra Balcony; 1 bed, 1 bath",1,1.0,576,1945,1945,1945.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2465,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco Balcony; 1 bed, 1 bath",1,1.0,567,1950,1950,1950.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
2466,Skye Rentals,Downtown Ottawa Apartments,"383 Albert St, Ottawa, ON K1R 0C8",Ottawa,"Draco Balcony; 1 bed, 1 bath",1,1.0,567,1955,1955,1955.0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,2024-04-19 04:59:19.228,45.41813309191645,-75.70452239150141,https://www.padmapper.com/buildings/p934099/skye-rentals-apartments-at-383-albert-st-ottawa-on-k1r-0c8
