Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Pets,Price,Latitude,Longitude,Date,Url,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
Wesley Place,West End Apartments,"1022 Nelson St, Vancouver, BC V6E 4S7",Vancouver,0 Bedroom | 1 Bathroom,0,1.0,398.0,0,2385,49.281581389800365,-123.1267284613922,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p368034/wesley-place-apartments-at-1022-nelson-st-vancouver-bc-v6e-4s7,0,0,1,1,0,1,0,0,0,0,0,0,1
Wesley Place,West End Apartments,"1022 Nelson St, Vancouver, BC V6E 4S7",Vancouver,2 Bedroom | 1 Bathroom,2,1.0,691.0,0,3395,49.281581389800365,-123.1267284613922,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p368034/wesley-place-apartments-at-1022-nelson-st-vancouver-bc-v6e-4s7,0,0,1,1,0,1,0,0,0,0,0,0,1
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,studio,0,1.0,443.0,1,2195,49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6,1,0,1,1,0,1,0,0,1,0,0,0,1
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,1bed,1,1.0,537.0,1,2595,49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6,1,0,1,1,0,1,0,0,1,0,0,0,1
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,2bed,2,1.0,761.0,1,3195,49.22560172966707,-123.1025228443768,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p377600/the-bovill-apartments-at-188-49th-ave-e-vancouver-bc-v5w-0e6,1,0,1,1,0,1,0,0,1,0,0,0,1
1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 1 Bedroom,1,1.0,436.0,1,2459,49.28489604231831,-123.1318938661225,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1,0,1,0,0,0,1,1,0,1,0,1,0,0
1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 2 Bedroom,2,1.0,737.0,1,3708,49.28489604231831,-123.1318938661225,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1,0,1,0,0,0,1,1,0,1,0,1,0,0
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,modern studio,0,1.0,500.0,1,2585,49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7,1,1,1,0,0,1,1,0,1,0,1,0,1
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Spacious Studio,0,1.0,490.0,1,2600,49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7,1,1,1,0,0,1,1,0,1,0,1,0,1
Burrard Place Rental,Downtown Vancouver Apartments,"1289 Hornby St, Vancouver, BC V6Z 0G7",Vancouver,Furnished Studio,0,1.0,400.0,1,2850,49.27754553492591,-123.12957071517228,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p780822/burrard-place-rental-apartments-at-1289-hornby-st-vancouver-bc-v6z-0g7,1,1,1,0,0,1,1,0,1,0,1,0,1
